surname,district,past_local,present_local,past_national,present_national,raw_total
ขำนุรักษ์,พัทลุง,0,0,1,1,5
พงษ์สมบัติ,ขอนแก่น,0,0,1,1,5
สุโกศล,นครราชสีมา,0,0,1,0,5
หงษ์วิไล,ปราจีนบุรี,1,0,1,0,5
แวอาแซ,นราธิวาส,0,0,1,0,5
สิงห์โตทอง,ชลบุรี,1,0,0,0,5
สาระนันท์,สกลนคร,0,0,1,1,5
ชัยนิคม,อุดรธานี,0,0,1,1,5
วันไชยธนวงศ์,แม่ฮ่องสอน,1,1,1,0,5
ชันแสง,กรุงเทพมหานคร,0,0,1,0,5
สังขทรัพย์,เลย,0,0,1,0,5
วิภัติภูมิประเทศ,กรุงเทพมหานคร,0,0,1,1,5
วิภูศิริ,กรุงเทพมหานคร,0,0,1,1,5
วิวัฒน์ธนาฒย์,พิษณุโลก,1,1,1,0,5
ศรัณย์เกตุ,อุตรดิตถ์,0,0,1,1,5
ดนัยตั้งตระกูล,ร้อยเอ็ด,0,0,1,0,5
ชนะวงศ์,ขอนแก่น,0,0,1,0,5
ศรีชนะ,ยโสธร,1,0,1,0,5
ชนะวงศ์,กรุงเทพมหานคร,0,0,1,0,5
กัลยาศิริ,สงขลา,1,0,1,0,5
ศิริไปล์,มหาสารคาม,1,0,1,0,5
ศรีลาภ,ยโสธร,1,0,1,0,5
ศรีสุรพล,ขอนแก่น,0,0,1,1,5
แสงเจริญรัตน์,เลย,1,0,1,0,5
จุลใส,ชุมพร,1,0,1,1,5
วงศ์ไตรรัตน์,นครราชสีมา,0,0,1,0,5
ชาญประดิษฐ์,ศรีสะเกษ,0,0,1,1,5
จีนาคำ,แม่ฮ่องสอน,0,0,1,1,5
วงศ์ศรีวงศ์,พะเยา,0,0,1,0,5
ศิริกุล,กาฬสินธุ์,0,0,1,1,5
มาตรศรี,สุพรรณบุรี,1,0,1,1,5
ณ ลำพูน,น่าน,0,0,1,0,5
ใจใหญ่,ประจวบคีรีขันธ์,0,0,1,0,5
เหลืองวิจิตร,พิจิตร,1,0,1,0,5
สุระบาล,ตรัง,0,0,1,0,5
ยี่สาร,เพชรบุรี,0,0,1,0,5
รอดรัศมี,สมุทรสงคราม,0,0,1,1,5
จิตสัมฤทธิ์,ศรีสะเกษ,1,0,1,1,5
ช่างเหลา,ขอนแก่น,1,0,0,1,5
รัฐผไท,เชียงใหม่,0,0,1,1,5
รัตโน,อุบลราชธานี,1,0,1,0,5
แอกทอง,สุรินทร์,0,0,1,1,5
สุจารี,ร้อยเอ็ด,1,0,1,1,5
